timestamp,cultura,umidade_%,pH,N_ppm,P_ppm,K_ppm
2025-10-02T03:00:00-03:00,milho,32.12,6.01,21.5,28.4,109.2
2025-10-02T03:30:00-03:00,milho,31.73,5.96,26.8,12.9,158.3
2025-10-02T04:00:00-03:00,milho,24.64,6.19,30.2,14.7,208.5
2025-10-02T04:30:00-03:00,milho,26.76,6.61,43.7,19.2,167.9
2025-10-02T05:00:00-03:00,milho,29.33,6.39,37.6,10.8,188.5
2025-10-02T05:30:00-03:00,milho,31.9,6.07,36.9,15.6,140.5
2025-10-02T06:00:00-03:00,milho,26.08,6.47,43.5,19.9,180.0
2025-10-02T06:30:00-03:00,milho,27.26,5.2,33.6,16.0,161.2
2025-10-02T07:00:00-03:00,milho,23.57,6.6,38.9,17.4,112.0
2025-10-02T07:30:00-03:00,milho,23.22,5.59,34.0,14.8,162.7
2025-10-02T08:00:00-03:00,milho,31.25,6.07,37.7,8.9,110.3
2025-10-02T08:30:00-03:00,milho,33.42,5.81,29.2,19.9,124.7
2025-10-02T09:00:00-03:00,milho,27.71,5.75,10.6,28.5,157.6
2025-10-02T09:30:00-03:00,milho,32.01,6.61,33.7,18.1,161.9
2025-10-02T10:00:00-03:00,milho,29.45,6.04,49.2,19.4,102.4
2025-10-02T10:30:00-03:00,milho,25.42,6.32,44.3,22.2,192.2
2025-10-02T11:00:00-03:00,milho,29.45,6.18,44.7,10.4,172.9
2025-10-02T11:30:00-03:00,milho,34.15,6.37,47.4,28.2,121.8
2025-10-02T12:00:00-03:00,milho,27.86,6.23,35.9,19.2,88.5
2025-10-02T12:30:00-03:00,milho,34.26,5.75,37.0,27.8,144.2
2025-10-02T13:00:00-03:00,milho,17.52,6.55,28.8,13.6,132.2
2025-10-02T13:30:00-03:00,milho,31.29,6.03,31.8,28.9,154.5
2025-10-02T14:00:00-03:00,milho,28.35,5.66,41.2,22.7,135.5
2025-10-02T14:30:00-03:00,milho,26.8,6.05,47.0,21.3,69.7
2025-10-02T15:00:00-03:00,milho,28.37,6.73,33.6,19.4,134.5
2025-10-02T15:30:00-03:00,milho,20.05,6.5,30.5,16.5,137.8
2025-10-02T16:00:00-03:00,milho,27.12,6.08,35.0,25.2,175.3
2025-10-02T16:30:00-03:00,milho,29.43,6.08,41.0,18.8,122.1
2025-10-02T17:00:00-03:00,milho,33.91,6.09,20.6,6.2,217.1
2025-10-02T17:30:00-03:00,milho,25.93,6.93,12.0,11.3,73.5
2025-10-02T18:00:00-03:00,milho,24.77,6.33,29.5,16.9,202.4
2025-10-02T18:30:00-03:00,milho,25.99,6.35,22.8,19.9,141.0
2025-10-02T19:00:00-03:00,milho,31.66,6.56,29.9,17.7,184.4
2025-10-02T19:30:00-03:00,milho,29.32,6.28,33.5,25.3,153.2
2025-10-02T20:00:00-03:00,milho,25.88,6.11,30.5,6.3,195.6
2025-10-02T20:30:00-03:00,milho,30.05,6.13,49.5,18.9,134.5
2025-10-02T21:00:00-03:00,milho,28.39,6.17,38.3,7.1,106.1
2025-10-02T21:30:00-03:00,milho,31.87,6.19,38.0,22.6,206.8
2025-10-02T22:00:00-03:00,milho,25.19,6.45,41.2,17.4,145.5
2025-10-02T22:30:00-03:00,milho,26.69,6.22,23.6,20.5,158.9
2025-10-02T23:00:00-03:00,milho,26.43,6.46,45.4,12.8,199.4
2025-10-02T23:30:00-03:00,milho,22.15,6.17,34.2,25.7,108.7
2025-10-03T00:00:00-03:00,milho,29.18,6.23,41.7,24.3,173.8
2025-10-03T00:30:00-03:00,milho,29.04,5.5,24.3,21.5,126.4
2025-10-03T01:00:00-03:00,milho,28.02,6.52,19.5,17.2,144.7
2025-10-03T01:30:00-03:00,milho,27.06,6.32,43.2,21.5,152.9
2025-10-03T02:00:00-03:00,milho,22.34,6.55,38.8,13.8,90.0
2025-10-03T02:30:00-03:00,milho,26.32,5.19,26.0,23.1,118.8
2025-10-03T03:00:00-03:00,milho,26.63,6.93,26.3,27.9,204.0
2025-10-03T03:30:00-03:00,milho,24.79,6.15,46.3,24.4,185.4
2025-10-03T04:00:00-03:00,milho,27.35,6.59,23.1,13.6,147.5
2025-10-03T04:30:00-03:00,milho,29.62,5.84,51.4,20.2,159.7
2025-10-03T05:00:00-03:00,milho,35.54,6.41,26.0,10.2,138.2
2025-10-03T05:30:00-03:00,milho,28.7,5.83,41.4,21.4,204.3
2025-10-03T06:00:00-03:00,milho,29.03,5.98,31.7,20.7,142.0
2025-10-03T06:30:00-03:00,milho,27.7,6.87,41.0,6.8,159.3
2025-10-03T07:00:00-03:00,milho,20.32,6.13,29.6,11.0,195.8
2025-10-03T07:30:00-03:00,milho,27.89,6.28,33.4,16.3,118.9
2025-10-03T08:00:00-03:00,milho,28.24,6.5,35.4,16.2,212.4
2025-10-03T08:30:00-03:00,milho,37.85,6.37,25.0,10.7,88.8
2025-10-03T09:00:00-03:00,milho,27.23,6.25,42.4,20.3,215.2
2025-10-03T09:30:00-03:00,milho,29.21,6.33,29.9,19.5,135.1
2025-10-03T10:00:00-03:00,milho,27.86,7.04,32.7,16.8,140.3
2025-10-03T10:30:00-03:00,milho,23.33,6.18,25.1,13.5,74.4
2025-10-03T11:00:00-03:00,milho,32.57,6.27,9.4,24.3,131.8
2025-10-03T11:30:00-03:00,milho,31.01,6.57,33.1,27.9,108.4
2025-10-03T12:00:00-03:00,milho,31.16,6.59,59.1,15.1,125.7
2025-10-03T12:30:00-03:00,milho,24.36,6.62,42.8,14.3,144.5
2025-10-03T13:00:00-03:00,milho,33.61,6.42,34.8,20.9,188.3
2025-10-03T13:30:00-03:00,milho,22.39,5.8,32.4,15.9,158.3
2025-10-03T14:00:00-03:00,milho,30.35,6.77,35.2,17.2,162.3
2025-10-03T14:30:00-03:00,milho,36.76,5.8,40.5,22.4,106.2
2025-10-03T15:00:00-03:00,milho,24.04,6.31,23.2,6.5,114.8
2025-10-03T15:30:00-03:00,milho,25.73,5.94,46.1,25.9,221.9
2025-10-03T16:00:00-03:00,milho,28.4,6.18,42.2,18.4,120.6
2025-10-03T16:30:00-03:00,milho,25.99,6.32,42.2,15.5,216.2
2025-10-03T17:00:00-03:00,milho,21.8,6.31,39.4,17.5,140.3
2025-10-03T17:30:00-03:00,milho,28.27,6.35,35.2,17.8,150.1
2025-10-03T18:00:00-03:00,milho,23.75,6.76,41.7,7.6,192.8
2025-10-03T18:30:00-03:00,milho,29.89,6.36,40.9,27.0,200.9
2025-10-03T19:00:00-03:00,milho,24.32,6.11,31.5,18.2,145.6
2025-10-03T19:30:00-03:00,milho,34.2,6.54,29.3,20.7,134.5
2025-10-03T20:00:00-03:00,milho,24.87,6.62,36.0,23.7,147.8
2025-10-03T20:30:00-03:00,milho,26.71,5.77,50.5,11.9,163.5
2025-10-03T21:00:00-03:00,milho,31.25,6.41,22.6,20.8,185.7
2025-10-03T21:30:00-03:00,milho,23.08,6.45,20.3,16.4,150.2
2025-10-03T22:00:00-03:00,milho,28.91,6.1,36.6,23.1,174.8
2025-10-03T22:30:00-03:00,milho,33.23,6.68,35.5,5.2,215.5
2025-10-03T23:00:00-03:00,milho,21.57,6.15,36.7,17.4,165.3
2025-10-03T23:30:00-03:00,milho,28.74,6.24,37.4,14.4,162.5
2025-10-04T00:00:00-03:00,milho,29.04,6.14,32.8,20.6,89.2
2025-10-04T00:30:00-03:00,milho,31.13,6.21,49.9,20.8,44.8
2025-10-04T01:00:00-03:00,milho,23.05,5.82,19.0,13.8,165.5
2025-10-04T01:30:00-03:00,milho,22.72,5.7,26.7,13.7,146.2
2025-10-04T02:00:00-03:00,milho,30.09,6.76,34.0,17.3,129.4
2025-10-04T02:30:00-03:00,milho,29.19,5.9,18.6,12.6,159.7
2025-10-04T03:00:00-03:00,milho,29.0,5.85,33.2,23.1,147.6
2025-10-04T03:30:00-03:00,milho,29.39,5.45,51.6,15.8,195.1
2025-10-04T04:00:00-03:00,milho,25.28,5.98,35.2,2.0,153.4
2025-10-04T04:30:00-03:00,milho,28.93,5.74,37.3,15.8,120.1
2025-10-04T05:00:00-03:00,milho,29.17,6.77,22.4,11.8,189.6
2025-10-04T05:30:00-03:00,milho,25.14,6.55,28.8,8.2,141.3
2025-10-04T06:00:00-03:00,milho,35.46,5.96,31.2,10.6,171.1
2025-10-04T06:30:00-03:00,milho,29.9,6.99,31.8,18.7,130.9
2025-10-04T07:00:00-03:00,milho,23.23,6.54,47.8,26.0,124.0
2025-10-04T07:30:00-03:00,milho,30.63,6.09,40.6,19.9,153.4
2025-10-04T08:00:00-03:00,milho,24.1,5.33,23.9,14.4,150.5
2025-10-04T08:30:00-03:00,milho,31.15,7.0,37.5,20.7,169.2
2025-10-04T09:00:00-03:00,milho,32.63,5.71,40.0,15.2,139.3
2025-10-04T09:30:00-03:00,milho,24.72,5.62,46.4,13.8,76.5
2025-10-04T10:00:00-03:00,milho,31.85,6.56,50.8,11.1,132.7
2025-10-04T10:30:00-03:00,milho,29.65,7.05,24.8,7.5,181.8
2025-10-04T11:00:00-03:00,milho,31.29,6.68,26.9,15.7,138.1
2025-10-04T11:30:00-03:00,milho,35.59,6.4,22.4,18.9,140.1
2025-10-04T12:00:00-03:00,milho,27.02,6.41,32.7,17.4,189.5
2025-10-04T12:30:00-03:00,milho,24.99,6.5,39.7,15.5,121.5
2025-10-04T13:00:00-03:00,milho,24.44,6.47,44.9,12.3,88.3
2025-10-04T13:30:00-03:00,milho,24.74,6.3,34.2,21.6,143.6
2025-10-04T14:00:00-03:00,milho,27.69,6.24,31.8,10.1,130.6
2025-10-04T14:30:00-03:00,milho,29.36,6.18,36.5,22.7,111.4
2025-10-04T15:00:00-03:00,milho,29.11,5.94,26.6,12.0,143.0
2025-10-04T15:30:00-03:00,milho,31.31,6.1,55.9,13.5,169.7
2025-10-04T16:00:00-03:00,milho,28.05,5.61,18.9,9.2,149.6
2025-10-04T16:30:00-03:00,milho,33.81,6.17,36.8,15.0,162.3
2025-10-04T17:00:00-03:00,milho,26.94,5.85,55.2,23.9,222.5
2025-10-04T17:30:00-03:00,milho,38.88,5.81,35.1,21.1,136.3
2025-10-04T18:00:00-03:00,milho,30.5,6.26,33.1,23.9,161.1
2025-10-04T18:30:00-03:00,milho,24.57,6.69,31.4,21.1,129.6
2025-10-04T19:00:00-03:00,milho,23.72,6.52,33.2,11.4,116.1
2025-10-04T19:30:00-03:00,milho,29.93,5.65,48.7,16.0,126.6
2025-10-04T20:00:00-03:00,milho,27.11,5.85,12.9,13.3,130.8
2025-10-04T20:30:00-03:00,milho,30.86,6.53,50.3,26.0,164.4
2025-10-04T21:00:00-03:00,milho,29.89,5.86,20.8,10.8,244.0
2025-10-04T21:30:00-03:00,milho,27.71,6.12,32.3,23.4,121.4
2025-10-04T22:00:00-03:00,milho,24.61,6.39,30.7,23.4,133.3
2025-10-04T22:30:00-03:00,milho,21.94,5.86,40.9,29.0,147.5
2025-10-04T23:00:00-03:00,milho,26.21,6.24,19.0,15.5,165.8
2025-10-04T23:30:00-03:00,milho,31.43,5.73,39.6,22.3,160.5
2025-10-05T00:00:00-03:00,milho,28.86,5.99,55.2,31.7,201.4
2025-10-05T00:30:00-03:00,milho,23.02,6.31,21.4,14.3,52.9
2025-10-05T01:00:00-03:00,milho,28.69,5.64,36.9,8.8,54.5
2025-10-05T01:30:00-03:00,milho,29.54,6.35,28.4,6.7,130.2
2025-10-05T02:00:00-03:00,milho,24.46,6.19,39.3,22.3,193.9
2025-10-05T02:30:00-03:00,milho,28.61,6.39,35.2,6.7,87.4
2025-10-05T03:00:00-03:00,milho,28.23,6.28,28.6,15.8,40.0
2025-10-05T03:30:00-03:00,milho,23.43,6.68,39.9,20.6,172.8
2025-10-05T04:00:00-03:00,milho,29.43,6.24,53.0,19.1,159.7
2025-10-05T04:30:00-03:00,milho,30.24,6.05,33.1,20.6,106.4
2025-10-05T05:00:00-03:00,milho,32.33,6.24,42.2,19.3,110.6
2025-10-05T05:30:00-03:00,milho,32.22,6.39,22.1,25.7,111.2
2025-10-05T06:00:00-03:00,milho,22.49,6.22,25.4,12.3,154.4
2025-10-05T06:30:00-03:00,milho,24.25,6.21,39.7,13.9,124.9
2025-10-05T07:00:00-03:00,milho,30.06,5.95,49.8,13.4,169.8
2025-10-05T07:30:00-03:00,milho,30.06,5.97,38.6,23.0,40.0
2025-10-05T08:00:00-03:00,milho,30.06,5.71,31.9,23.4,115.7
2025-10-05T08:30:00-03:00,milho,43.41,6.81,35.0,20.7,105.0
2025-10-05T09:00:00-03:00,milho,30.28,5.76,22.5,25.1,139.7
2025-10-05T09:30:00-03:00,milho,32.54,5.96,41.0,10.9,128.5
2025-10-05T10:00:00-03:00,milho,31.82,5.95,43.8,28.0,181.9
2025-10-05T10:30:00-03:00,milho,30.61,6.51,30.5,27.1,75.6
2025-10-05T11:00:00-03:00,milho,26.74,6.1,30.3,22.4,151.8
2025-10-05T11:30:00-03:00,milho,31.04,6.64,37.7,28.7,172.3
2025-10-05T12:00:00-03:00,milho,24.91,5.96,30.6,8.1,224.3
2025-10-05T12:30:00-03:00,milho,27.05,6.3,34.3,14.9,130.7
2025-10-05T13:00:00-03:00,milho,26.06,5.91,56.0,13.6,163.0
2025-10-05T13:30:00-03:00,milho,28.33,6.95,32.5,22.3,77.8
2025-10-05T14:00:00-03:00,milho,37.26,5.78,31.4,11.7,54.3
2025-10-05T14:30:00-03:00,milho,20.53,6.31,28.5,22.5,183.8
2025-10-05T15:00:00-03:00,milho,30.75,6.42,42.4,26.2,149.8
2025-10-05T15:30:00-03:00,milho,21.55,6.34,33.2,22.2,197.1
2025-10-05T16:00:00-03:00,milho,26.11,6.14,28.5,19.7,95.1
2025-10-05T16:30:00-03:00,milho,32.36,6.15,48.2,12.1,170.8
2025-10-05T17:00:00-03:00,milho,28.26,6.22,49.2,12.9,224.8
2025-10-05T17:30:00-03:00,milho,23.69,6.15,29.0,25.5,166.8
2025-10-05T18:00:00-03:00,milho,25.14,6.54,16.3,22.7,161.1
2025-10-05T18:30:00-03:00,milho,30.72,6.97,45.1,17.8,150.3
2025-10-05T19:00:00-03:00,milho,25.08,6.0,28.2,15.5,87.2
2025-10-05T19:30:00-03:00,milho,28.87,5.72,42.9,5.8,204.2
2025-10-05T20:00:00-03:00,milho,28.18,6.17,15.3,11.6,125.6
2025-10-05T20:30:00-03:00,milho,25.39,7.1,43.9,29.5,170.2
2025-10-05T21:00:00-03:00,milho,36.58,5.92,22.9,10.3,87.5
2025-10-05T21:30:00-03:00,milho,30.54,6.77,42.3,19.1,102.8
2025-10-05T22:00:00-03:00,milho,19.9,6.79,35.1,24.0,207.4
2025-10-05T22:30:00-03:00,milho,28.75,6.01,25.5,10.5,136.1
2025-10-05T23:00:00-03:00,milho,25.35,6.4,30.9,19.1,208.1
2025-10-05T23:30:00-03:00,milho,31.41,6.77,41.9,23.6,146.9
2025-10-06T00:00:00-03:00,milho,24.83,6.07,36.1,18.1,76.3
2025-10-06T00:30:00-03:00,milho,27.54,6.13,40.8,35.2,185.7
2025-10-06T01:00:00-03:00,milho,30.02,6.0,54.8,8.0,126.4
2025-10-06T01:30:00-03:00,milho,31.46,5.84,19.4,24.4,177.9
2025-10-06T02:00:00-03:00,milho,23.2,5.97,51.2,17.0,151.0
2025-10-06T02:30:00-03:00,milho,26.66,5.77,36.0,22.6,88.3
2025-10-06T03:00:00-03:00,milho,26.1,6.21,26.0,20.6,156.6
2025-10-06T03:30:00-03:00,milho,25.39,5.93,21.7,13.6,237.8
2025-10-06T04:00:00-03:00,milho,35.06,6.28,33.1,19.4,169.7
2025-10-06T04:30:00-03:00,milho,29.62,5.66,44.2,6.9,147.7
2025-10-06T05:00:00-03:00,milho,22.96,6.32,33.7,21.6,193.0
2025-10-06T05:30:00-03:00,milho,31.67,6.49,50.1,19.8,158.4
2025-10-06T06:00:00-03:00,milho,36.49,5.5,20.5,21.8,158.4
2025-10-06T06:30:00-03:00,milho,32.13,6.33,34.9,24.3,106.3
2025-10-06T07:00:00-03:00,milho,21.92,6.63,22.5,20.2,159.4
2025-10-06T07:30:00-03:00,milho,26.06,5.78,38.6,18.9,191.4
2025-10-06T08:00:00-03:00,milho,33.07,6.79,43.9,12.7,116.6
2025-10-06T08:30:00-03:00,milho,25.17,6.35,30.8,13.7,207.0
2025-10-06T09:00:00-03:00,milho,29.78,5.95,9.0,25.1,146.3
2025-10-06T09:30:00-03:00,milho,31.1,6.18,37.0,26.6,114.5
2025-10-06T10:00:00-03:00,milho,24.29,6.4,39.4,16.6,189.9
2025-10-06T10:30:00-03:00,milho,27.76,6.23,39.0,18.3,138.5
2025-10-06T11:00:00-03:00,milho,15.03,6.39,47.4,12.6,180.4
2025-10-06T11:30:00-03:00,milho,23.9,5.88,24.3,25.0,138.3
2025-10-06T12:00:00-03:00,milho,26.99,6.26,41.8,22.0,147.6
2025-10-06T12:30:00-03:00,milho,23.01,5.71,46.9,29.6,169.7
2025-10-06T13:00:00-03:00,milho,34.53,6.16,17.2,12.7,161.6
2025-10-06T13:30:00-03:00,milho,22.28,5.88,38.2,15.7,70.2
2025-10-06T14:00:00-03:00,milho,26.24,5.94,30.0,19.4,105.2
2025-10-06T14:30:00-03:00,milho,28.52,6.63,34.2,21.9,187.2
2025-10-06T15:00:00-03:00,milho,33.77,6.58,38.5,16.7,144.7
2025-10-06T15:30:00-03:00,milho,22.26,6.41,30.1,12.8,129.1
2025-10-06T16:00:00-03:00,milho,32.65,5.82,28.2,23.3,95.7
2025-10-06T16:30:00-03:00,milho,28.04,6.09,35.3,22.3,106.8
2025-10-06T17:00:00-03:00,milho,24.07,6.62,24.1,12.5,69.1
2025-10-06T17:30:00-03:00,milho,29.85,6.25,24.1,26.1,145.9
2025-10-06T18:00:00-03:00,milho,28.8,7.01,41.8,25.0,126.1
2025-10-06T18:30:00-03:00,milho,25.6,6.34,23.5,18.8,111.3
2025-10-06T19:00:00-03:00,milho,28.28,6.27,41.7,18.5,147.3
2025-10-06T19:30:00-03:00,milho,26.46,6.09,39.6,21.3,164.6
2025-10-06T20:00:00-03:00,milho,28.45,6.25,17.7,12.8,233.7
2025-10-06T20:30:00-03:00,milho,30.65,6.15,28.2,18.2,89.5
2025-10-06T21:00:00-03:00,milho,34.34,6.45,46.9,5.1,196.4
2025-10-06T21:30:00-03:00,milho,23.05,6.53,25.2,23.3,188.9
2025-10-06T22:00:00-03:00,milho,36.53,5.92,30.4,8.6,118.8
2025-10-06T22:30:00-03:00,milho,20.19,5.73,39.6,27.0,158.1
2025-10-06T23:00:00-03:00,milho,27.39,5.56,42.8,16.0,131.7
2025-10-06T23:30:00-03:00,milho,30.35,6.38,32.5,16.7,157.4
2025-10-07T00:00:00-03:00,milho,29.12,5.81,29.0,14.2,210.4
2025-10-07T00:30:00-03:00,milho,25.51,5.45,49.2,16.3,174.2
2025-10-07T01:00:00-03:00,milho,27.17,6.34,52.4,26.5,170.3
2025-10-07T01:30:00-03:00,milho,26.03,7.07,44.8,3.1,132.8
2025-10-07T02:00:00-03:00,milho,25.64,6.2,35.9,25.7,90.6
2025-10-07T02:30:00-03:00,milho,31.4,6.49,26.9,20.0,141.7
2025-10-07T03:00:00-03:00,milho,29.43,6.23,26.7,10.8,198.3
2025-10-07T03:30:00-03:00,milho,25.23,6.17,40.2,11.5,88.9
2025-10-07T04:00:00-03:00,milho,31.6,6.52,39.2,28.1,107.8
2025-10-07T04:30:00-03:00,milho,29.23,6.1,49.0,12.3,155.1
2025-10-07T05:00:00-03:00,milho,31.25,6.29,41.5,11.1,110.6
2025-10-07T05:30:00-03:00,milho,30.52,6.31,20.0,24.8,118.3
2025-10-07T06:00:00-03:00,milho,24.68,5.97,45.5,20.0,133.1
2025-10-07T06:30:00-03:00,milho,25.76,6.55,25.0,12.4,95.4
2025-10-07T07:00:00-03:00,milho,30.99,6.14,31.2,19.3,111.0
2025-10-07T07:30:00-03:00,milho,30.44,5.94,37.5,11.8,178.1
2025-10-07T08:00:00-03:00,milho,27.92,6.39,55.0,24.6,97.7
2025-10-07T08:30:00-03:00,milho,28.47,5.89,66.1,24.4,86.1
2025-10-07T09:00:00-03:00,milho,33.11,6.21,41.1,21.2,124.8
2025-10-07T09:30:00-03:00,milho,25.63,6.2,33.2,20.2,179.3
2025-10-07T10:00:00-03:00,milho,30.19,6.58,40.3,28.6,142.1
2025-10-07T10:30:00-03:00,milho,27.19,6.37,43.9,18.0,131.4
2025-10-07T11:00:00-03:00,milho,27.13,6.19,31.8,10.9,151.8
2025-10-07T11:30:00-03:00,milho,32.4,6.49,53.0,20.7,80.2
2025-10-07T12:00:00-03:00,milho,31.3,6.69,37.3,30.5,169.8
2025-10-07T12:30:00-03:00,milho,31.25,6.4,40.0,11.9,165.3
2025-10-07T13:00:00-03:00,milho,33.22,6.2,41.7,15.8,133.6
2025-10-07T13:30:00-03:00,milho,28.08,5.74,39.2,20.5,190.2
2025-10-07T14:00:00-03:00,milho,30.73,5.83,43.4,17.7,104.9
2025-10-07T14:30:00-03:00,milho,26.76,6.09,28.8,12.1,195.1
2025-10-07T15:00:00-03:00,milho,29.3,5.99,29.4,24.7,156.2
2025-10-07T15:30:00-03:00,milho,27.48,6.13,24.0,31.9,136.5
2025-10-07T16:00:00-03:00,milho,28.39,6.22,39.4,19.2,149.2
2025-10-07T16:30:00-03:00,milho,30.38,6.39,42.8,12.6,145.7
2025-10-07T17:00:00-03:00,milho,24.73,6.18,39.6,8.7,198.8
2025-10-07T17:30:00-03:00,milho,36.37,6.37,51.7,19.5,106.9
2025-10-07T18:00:00-03:00,milho,23.98,6.22,34.9,24.6,119.5
2025-10-07T18:30:00-03:00,milho,23.14,5.51,41.7,20.9,191.5
2025-10-07T19:00:00-03:00,milho,32.63,5.87,24.1,18.0,126.2
2025-10-07T19:30:00-03:00,milho,31.17,6.15,31.1,14.5,186.0
2025-10-07T20:00:00-03:00,milho,30.5,5.78,42.0,11.4,218.0
2025-10-07T20:30:00-03:00,milho,30.51,6.41,43.5,23.0,133.9
2025-10-07T21:00:00-03:00,milho,27.95,6.74,32.1,23.5,177.3
2025-10-07T21:30:00-03:00,milho,24.41,6.63,34.3,8.7,103.9
2025-10-07T22:00:00-03:00,milho,28.3,6.13,19.8,27.5,180.2
2025-10-07T22:30:00-03:00,milho,25.29,6.72,31.4,21.4,158.0
2025-10-07T23:00:00-03:00,milho,31.9,6.25,43.9,26.4,168.9
2025-10-07T23:30:00-03:00,milho,27.41,6.08,40.8,9.9,124.2
2025-10-08T00:00:00-03:00,milho,24.7,5.99,40.0,9.8,83.6
2025-10-08T00:30:00-03:00,milho,26.71,6.09,35.5,17.1,170.1
2025-10-08T01:00:00-03:00,milho,29.65,6.06,35.1,21.0,67.5
2025-10-08T01:30:00-03:00,milho,25.75,6.26,28.4,28.8,137.3
2025-10-08T02:00:00-03:00,milho,24.71,6.26,42.0,22.2,187.6
2025-10-08T02:30:00-03:00,milho,28.97,6.2,39.2,16.5,157.7
2025-10-08T03:00:00-03:00,milho,28.98,6.35,39.9,11.8,227.9
2025-10-08T03:30:00-03:00,milho,25.97,6.62,29.7,25.4,191.0
2025-10-08T04:00:00-03:00,milho,26.12,6.53,13.5,12.2,123.8
2025-10-08T04:30:00-03:00,milho,28.93,5.68,46.0,27.8,151.1
2025-10-08T05:00:00-03:00,milho,22.21,5.31,30.2,16.3,148.1
2025-10-08T05:30:00-03:00,milho,22.37,6.53,26.4,27.5,86.7
